link,name,year,director,score,description,categories,length
https://www.imdb.com/title/tt0000001/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Carmencita,1894,William K.L. Dickson,5.7,Performing on what looks like a small wooden stage&comma wearing a dress with a hoop skirt and white high-heeled pumps&comma Carmencita does a dance with kicks and twirls&comma a smile always on her face.,Documentary;Short,1
https://www.imdb.com/title/tt0000002/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Le clown et ses chiens,1892,Émile Reynaud,5.8,Short film of 300 individually painted images.,Animation;Short,5
https://www.imdb.com/title/tt0000003/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Pauvre Pierrot,1892,Émile Reynaud,6.5,One night&comma Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.,Animation;Comedy;Short,4
https://www.imdb.com/title/tt0000004/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Un bon bock,1892,Émile Reynaud,5.5,A wanderer comes into a cabaret in the countryside and asks for a glass of beer to a waitress. It is visible that she appeals to him. When the waitress comes back with the beer&comma the wanderer begins to court her. Meanwhile the kitchen boy comes&comma drinks the beer unnoticed and vanishes. The wanderer&comma misunderstanding&comma asks for another beer. Then a traveler enters and has... Read all,Animation;Short,12
https://www.imdb.com/title/tt0000005/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Blacksmith Scene,1893,William K.L. Dickson,6.2,Three men hammer on an anvil and pass a bottle of beer around.,Short;Comedy,1
https://www.imdb.com/title/tt0000006/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Chinese Opium Den,1894,William K.L. Dickson,5.0,,Short,1
https://www.imdb.com/title/tt0000007/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Corbett and Courtney Before the Kinetograph,1894,William K.L. DicksonWilliam Heise,5.4,James J. Corbett and Peter Courtney meet in a boxing exhibition.,Short;Sport,1
https://www.imdb.com/title/tt0000008/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Edison Kinetoscopic Record of a Sneeze,1894,William K.L. Dickson,5.4,A man (Thomas Edison's assistant) takes a pinch of snuff and sneezes. This is one of the earliest Thomas Edison films and was the first motion picture to be copyrighted in the United States.,Documentary;Short,1
https://www.imdb.com/title/tt0000009/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Miss Jerry,1894,Alexander Black,5.3,The adventures of a female reporter in the 1890s.,Romance,45
https://www.imdb.com/title/tt0000010/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_interst,Leaving the Factory,1895,Louis Lumière,6.9,Workers leaving the Lumière factory for lunch in Lyon&comma France in 1895; a place of great photographic innovation and one of the birth places of cinema.,Documentary;Short,1
